Time (s),Cookies
5.13,130
10.19,166
15.26,200
20.33,221
25.38,229
30.45,217
35.5,186
40.6,340
45.68,322
50.74,376
55.8,398
60.87,375
71.08,619
76.14,490
81.24,813
86.36,627
91.43,361
96.55,692
101.63,787
106.69,728
111.78,1335
116.86,928
121.91,787
127.05,1454
132.11,908
142.3,924
147.4,1651
152.51,1490
162.7,1934
167.82,1074
172.89,927
177.99,1777
183.06,1472
188.12,985
193.19,1847
198.27,1158
203.33,2029
208.41,1102
213.48,2006
218.54,1134
223.59,2018
228.68,2889
233.75,1743
238.8,2630
243.87,1185
248.93,2096
254.0,2989
259.06,1189
264.15,2099
269.22,2957
274.29,1962
279.35,2785
284.41,1461
289.48,2259
294.53,3011
299.63,1328
